Ecoli_Gene,Salm_Gene,Lethality_Type
b0031,STM2483,Community Collapse
b0031,STM0123,Community Collapse
b0031,STM0126,Community Collapse
b0031,STM0129,Community Collapse
b2764,STM2933,Community Collapse
b2764,STM2946,Community Collapse
b2764,STM3699,Community Collapse
b2764,STM2935,Community Collapse
b2764,STM2934,Community Collapse
b3809,STM3468,Community Collapse
b3809,STM3539,Community Collapse
b3809,STM3947,Community Collapse
b3809,STM0064,Community Collapse
b3809,STM2489,Community Collapse
b3809,STM4131,Community Collapse
b3809,STM0213,Community Collapse
b3809,STM2483,Community Collapse
b3809,STM0123,Community Collapse
b3809,STM0126,Community Collapse
b3809,STM0129,Community Collapse
b3729,STM3861,Community Collapse
b2838,STM3066,Ecoli Death
b2838,STM3013,Community Collapse
b0085,STM3468,Community Collapse
b0085,STM3539,Community Collapse
b0085,STM3947,Community Collapse
b0085,STM0064,Community Collapse
b0085,STM2489,Community Collapse
b0085,STM4131,Community Collapse
b0085,STM0213,Community Collapse
b0085,STM2483,Community Collapse
b0085,STM0123,Community Collapse
b0085,STM0126,Community Collapse
b0085,STM0129,Community Collapse
b0091,STM3468,Community Collapse
b0091,STM3539,Community Collapse
b0091,STM3947,Community Collapse
b0091,STM0064,Community Collapse
b0091,STM2489,Community Collapse
b0091,STM4131,Community Collapse
b0091,STM0213,Community Collapse
b0091,STM2483,Community Collapse
b0091,STM0123,Community Collapse
b0091,STM0126,Community Collapse
b0091,STM0129,Community Collapse
b2762,STM2933,Community Collapse
b2762,STM2946,Community Collapse
b2762,STM3699,Community Collapse
b2762,STM2935,Community Collapse
b2762,STM2934,Community Collapse
b0088,STM3468,Community Collapse
b0088,STM3539,Community Collapse
b0088,STM3947,Community Collapse
b0088,STM0064,Community Collapse
b0088,STM2489,Community Collapse
b0088,STM4131,Community Collapse
b0088,STM0213,Community Collapse
b0088,STM2483,Community Collapse
b0088,STM0123,Community Collapse
b0088,STM0126,Community Collapse
b0088,STM0129,Community Collapse
b2019,STM4176,Community Collapse
b2019,STM2071,Community Collapse
b2019,STM2073,Community Collapse
b2019,STM2077,Community Collapse
b2019,STM2075,Community Collapse
b2019,STM2074,Community Collapse
b2019,STM2072,Community Collapse
b2019,STM0150,Ecoli Death
b2019,STM2078,Community Collapse
b2019,STM2076,Community Collapse
b4214,STM2933,Community Collapse
b4214,STM2946,Community Collapse
b4214,STM3699,Community Collapse
b4214,STM2935,Community Collapse
b4214,STM2934,Community Collapse
b3607,STM2933,Community Collapse
b3607,STM2946,Community Collapse
b3607,STM3699,Community Collapse
b3607,STM2935,Community Collapse
b3607,STM2934,Community Collapse
b2478,STM3468,Community Collapse
b2478,STM3539,Community Collapse
b2478,STM3947,Community Collapse
b2478,STM0064,Community Collapse
b2478,STM2489,Community Collapse
b2478,STM4131,Community Collapse
b2478,STM0213,Community Collapse
b2478,STM2483,Community Collapse
b2478,STM0123,Community Collapse
b2478,STM0126,Community Collapse
b2478,STM0129,Community Collapse
b2024,STM4176,Community Collapse
b2024,STM2071,Community Collapse
b2024,STM2073,Community Collapse
b2024,STM2077,Community Collapse
b2024,STM2075,Community Collapse
b2024,STM2074,Community Collapse
b2024,STM2072,Community Collapse
b2024,STM0150,Ecoli Death
b2024,STM2078,Community Collapse
b2024,STM2076,Community Collapse
b2026,STM4176,Community Collapse
b2026,STM2071,Community Collapse
b2026,STM2073,Community Collapse
b2026,STM2077,Community Collapse
b2026,STM2075,Community Collapse
b2026,STM2074,Community Collapse
b2026,STM2072,Community Collapse
b2026,STM0150,Ecoli Death
b2026,STM2078,Community Collapse
b2026,STM2076,Community Collapse
b2022,STM4176,Community Collapse
b2022,STM0533,Salm Death
b2022,STM2071,Community Collapse
b2022,STM2073,Community Collapse
b2022,STM2077,Community Collapse
b2022,STM2075,Community Collapse
b2022,STM2074,Community Collapse
b2022,STM2072,Community Collapse
b2022,STM0150,Ecoli Death
b2022,STM2078,Community Collapse
b2022,STM2076,Community Collapse
b2312,STM1232,Community Collapse
b2312,STM4176,Community Collapse
b2312,STM0533,Community Collapse
b2312,STM0534,Community Collapse
b2312,STM2362,Community Collapse
b2312,STM2487,Community Collapse
b2312,STM2565,Community Collapse
b2312,STM4175,Community Collapse
b2312,STM2499_S,Community Collapse
b2020,STM4176,Community Collapse
b2020,STM0533,Community Collapse
b2020,STM0534,Community Collapse
b2020,STM0154,Community Collapse
b2020,STM2071,Community Collapse
b2020,STM3867,Community Collapse
b2020,STM2073,Community Collapse
b2020,STM2077,Community Collapse
b2020,STM2075,Community Collapse
b2020,STM2074,Community Collapse
b2020,STM2072,Community Collapse
b2020,STM0150,Ecoli Death
b2020,STM2078,Community Collapse
b2020,STM2076,Community Collapse
b3960,STM4123,Community Collapse
b3960,STM3290_S,Community Collapse
b0074,STM0399,Ecoli Death
b0074,STM0112,Community Collapse
b0074,STM0113,Community Collapse
b4005,STM1232,Community Collapse
b4005,STM4176,Community Collapse
b4005,STM0533,Community Collapse
b4005,STM0534,Community Collapse
b4005,STM2362,Community Collapse
b4005,STM2487,Community Collapse
b4005,STM2565,Community Collapse
b4005,STM4175,Community Collapse
b4005,STM2499_S,Community Collapse
b2750,STM2933,Community Collapse
b2750,STM2946,Community Collapse
b2750,STM3699,Community Collapse
b2750,STM2935,Community Collapse
b2750,STM2934,Community Collapse
b2557,STM1232,Community Collapse
b2557,STM4176,Community Collapse
b2557,STM0533,Community Collapse
b2557,STM0534,Community Collapse
b2557,STM2362,Community Collapse
b2557,STM2487,Community Collapse
b2557,STM2565,Community Collapse
b2557,STM4175,Community Collapse
b2557,STM2499_S,Community Collapse
b0522,STM1232,Community Collapse
b0522,STM4176,Community Collapse
b0522,STM0533,Community Collapse
b0522,STM0534,Community Collapse
b0522,STM2362,Community Collapse
b0522,STM2487,Community Collapse
b0522,STM2565,Community Collapse
b0522,STM4175,Community Collapse
b0522,STM2499_S,Community Collapse
b2406,STM2953,Salm Death
b2406,STM3001,Salm Death
